random.ID,year,semester,subjectCode,num
7cbcrd0E,2013,1,GEE10001,1
7cbcrd0E,2013,1,GEK10008,1
7cbcrd0E,2013,1,GEK10011,3
7cbcrd0E,2013,1,GEK10015,1
7cbcrd0E,2013,1,GEK10030,1
7cbcrd0E,2013,1,GEK10045,14
7cbcrd0E,2013,1,GEK10095,2
7cbcrd0E,2013,1,ISL20077,4
7cbcrd0E,2013,1,MEC10002,4
7cbcrd0E,2013,1,PCO10058,11
7cbcrd0E,2013,2,GEE10002,1
7cbcrd0E,2013,2,GEK10009,1
7cbcrd0E,2013,2,GEK10055,1
7cbcrd0E,2013,2,GEK20045,11
7cbcrd0E,2013,2,HMM10001,1
7cbcrd0E,2013,2,HMM10091,1
7cbcrd0E,2013,2,ISL20076,1
7cbcrd0E,2013,2,MEC10001,1
7cbcrd0E,2013,2,PCO10057,18
7cbcrd0E,2016,1,GEE20001,1
7cbcrd0E,2016,1,GEK20008,1
7cbcrd0E,2016,1,GEK20028,1
7cbcrd0E,2016,1,GEK30014,1
7cbcrd0E,2016,1,HMM10041,2
7cbcrd0E,2016,1,HMM20026,1
7cbcrd0E,2016,1,HMM20028,3
7cbcrd0E,2016,1,HMM30012,1
fVhXHvIp,2013,1,GEK10001,1
fVhXHvIp,2013,1,GEK10008,1
fVhXHvIp,2013,1,GEK10011,2
fVhXHvIp,2013,1,GEK10015,1
fVhXHvIp,2013,1,GEK10045,12
fVhXHvIp,2013,1,ISE10052,1
fVhXHvIp,2013,1,ISL10011,2
fVhXHvIp,2013,1,ISL20077,2
fVhXHvIp,2013,1,PCO10058,8
fVhXHvIp,2013,1,PCO20004,4
fVhXHvIp,2013,2,GEK10002,1
fVhXHvIp,2013,2,GEK10009,1
fVhXHvIp,2013,2,GEK10030,1
fVhXHvIp,2013,2,GEK10041,3
fVhXHvIp,2013,2,GEK10057,2
fVhXHvIp,2013,2,GEK10062,1
fVhXHvIp,2013,2,GEK20045,10
fVhXHvIp,2013,2,MEC10001,2
fVhXHvIp,2013,4,GEK10016,1
fVhXHvIp,2014,1,BFT20001,1
fVhXHvIp,2014,1,BFT20002,1
fVhXHvIp,2014,1,GEK10095,2
fVhXHvIp,2014,1,GEK20001,1
fVhXHvIp,2014,1,GEK20008,1
fVhXHvIp,2014,1,GEK20014,1
fVhXHvIp,2014,1,GEK30045,1
fVhXHvIp,2014,1,GEK40096,1
fVhXHvIp,2014,2,BFT20003,1
fVhXHvIp,2014,2,BFT20004,2
fVhXHvIp,2014,2,BFT20007,1
fVhXHvIp,2014,2,BFT20011,1
fVhXHvIp,2014,2,BFT20013,1
fVhXHvIp,2014,2,GEK20002,1
fVhXHvIp,2014,2,GEK20009,1
fVhXHvIp,2014,2,GEK20053,1
fVhXHvIp,2014,2,MEC20001,1
fVhXHvIp,2014,2,PCO10057,2
fVhXHvIp,2014,3,GEK10007,1
fVhXHvIp,2015,2,BFT30007,1
fVhXHvIp,2015,2,GEK10042,1
fVhXHvIp,2015,2,GEK30001,1
fVhXHvIp,2015,2,GEK30008,1
fVhXHvIp,2015,2,GEK30015,1
fVhXHvIp,2015,2,MEC20002,2
fVhXHvIp,2015,2,MEC20006,1
fVhXHvIp,2015,2,MEC30002,1
fVhXHvIp,2015,4,GCS20005,1
fVhXHvIp,2016,1,BFT30001,1
fVhXHvIp,2016,1,BFT30020,1
fVhXHvIp,2016,1,GCS10039,2
fVhXHvIp,2016,1,GEK10022,1
fVhXHvIp,2016,1,GEK30002,1
fVhXHvIp,2016,1,GEK30009,1
fVhXHvIp,2016,1,MEC10002,1
fVhXHvIp,2016,1,MEC30010,1
HGBEJI92,2013,1,GEK10001,1
