,year,semester,subjectCode,num,time,course
169,2013,1,MEC10002,1,"M3,Th3",MEC10002.1
170,2013,1,MEC10002,3,"M2,Th2",MEC10002.3
171,2013,1,MEC10002,4,"M6,Th6",MEC10002.4
172,2013,1,MEC20001,1,"M5,Th5",MEC20001.1
173,2013,1,MEC20002,1,"M3,Th3",MEC20002.1
174,2013,1,MEC20002,2,"M1,Th1",MEC20002.2
175,2013,1,MEC20003,2,"M5,Th5",MEC20003.2
176,2013,1,MEC20005,3,"M4,Th4",MEC20005.3
177,2013,1,MEC20005,4,"M5,Th5",MEC20005.4
178,2013,1,MEC20051,1,"M1,Th1",MEC20051.1
179,2013,1,MEC20055,3,"M1,Th1",MEC20055.3
180,2013,1,MEC20055,4,"M4,Th4",MEC20055.4
181,2013,1,MEC20057,1,"M7,M8",MEC20057.1
182,2013,1,MEC20058,2,"M1,Th1",MEC20058.2
183,2013,1,MEC20059,1,"M1,Th1",MEC20059.1
184,2013,1,MEC20059,2,"M2,Th2",MEC20059.2
185,2013,1,MEC20059,3,"M5,Th5",MEC20059.3
186,2013,1,MEC30003,1,"M4,Th4",MEC30003.1
187,2013,1,MEC30005,1,"M6,Th6",MEC30005.1
188,2013,1,MEC30006,1,"M2,Th2",MEC30006.1
189,2013,1,MEC30010,1,"M3,Th3",MEC30010.1
190,2013,1,MEC30012,1,"M5,Th5",MEC30012.1
191,2013,1,MEC30052,1,"M2,Th2",MEC30052.1
192,2013,1,MEC30057,1,"M6,Th6",MEC30057.1
193,2013,1,MEC30058,1,"M5,Th5",MEC30058.1
194,2013,1,MEC30066,1,"M2,Th2",MEC30066.1
195,2013,1,MEC30068,2,"M2,Th2",MEC30068.2
196,2013,1,MEC30074,1,"M3,Th3",MEC30074.1
197,2013,1,MEC30075,1,"M6,Th6",MEC30075.1
198,2013,1,MEC40006,1,"M3,Th3",MEC40006.1
199,2013,1,MEC40010,1,"M6,Th6",MEC40010.1
200,2013,1,MEC40055,1,"M3,Th3",MEC40055.1
201,2013,1,MEC40061,1,"M4,Th4",MEC40061.1
202,2013,1,MEC40079,1,"M5,Th5",MEC40079.1
203,2013,1,LAW10004,1,"M6,Th6",LAW10004.1
204,2013,1,LAW30034,1,"M2,Th2",LAW30034.1
205,2013,1,LAW30072,1,"M3,Th3",LAW30072.1
206,2013,1,LAW30074,1,"Th5,Th6",LAW30074.1
207,2013,1,LAW30077,1,"M4,M5",LAW30077.1
208,2013,1,LAW50005,1,"Th6,Th7",LAW50005.1
209,2013,1,UIL20010,1,"M6,Th6",UIL20010.1
210,2013,1,UIL30051,1,"M2,Th2",UIL30051.1
211,2013,1,UIL40064,1,"M4,M5",UIL40064.1
212,2013,1,CSW20001,1,"Th2,Th3",CSW20001.1
213,2013,1,CSW20002,2,"Th3,Th4",CSW20002.2
214,2013,1,CSW20005,1,"M2,Th2",CSW20005.1
215,2013,1,CSW20012,1,"M2,Th2",CSW20012.1
216,2013,1,CSW20015,2,"M3,Th3",CSW20015.2
217,2013,1,CSW20016,1,"M5,M6",CSW20016.1
218,2013,1,CSW20054,1,"M6,Th6",CSW20054.1
219,2013,1,CSW20064,1,"M2,Th2",CSW20064.1
